Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Positive Case Facebook,Chrome 108.0.0.0,,,2023-01-05 13:24:19,2023-01-05 13:25:07,48.569s,PASSED
,,,,,,,
Test Cases/Go to Facebook,Chrome 108.0.0.0,,,2023-01-05 13:24:19,2023-01-05 13:24:23,4.114s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-05 13:24:19,2023-01-05 13:24:21,2.185s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 108.0.0.0,,,2023-01-05 13:24:21,2023-01-05 13:24:23,1.424s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-05 13:24:23,2023-01-05 13:24:23,0.143s,PASSED
,,,,,,,
Test Cases/Login/Login Success,Chrome 108.0.0.0,,,2023-01-05 13:24:23,2023-01-05 13:25:07,44.181s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:24:23,2023-01-05 13:24:24,0.404s,PASSED
"click(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:24:24,2023-01-05 13:24:24,0.534s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Email""), email)",Chrome 108.0.0.0,,,2023-01-05 13:24:24,2023-01-05 13:24:25,0.882s,PASSED
delay(3),Chrome 108.0.0.0,,,2023-01-05 13:24:25,2023-01-05 13:24:28,3.068s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:24:28,2023-01-05 13:24:29,0.541s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:24:29,2023-01-05 13:24:29,0.360s,PASSED
"click(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:24:29,2023-01-05 13:24:30,0.355s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Password""), password)",Chrome 108.0.0.0,,,2023-01-05 13:24:30,2023-01-05 13:24:30,0.854s,PASSED
delay(3),Chrome 108.0.0.0,,,2023-01-05 13:24:30,2023-01-05 13:24:33,3.013s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:24:33,2023-01-05 13:24:34,0.418s,PASSED
"click(findTestObject(""Page Login Facebook/Button Login""))",Chrome 108.0.0.0,,,2023-01-05 13:24:34,2023-01-05 13:25:07,33.327s,PASSED
