Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Negativce Case Facebook,Chrome 108.0.0.0,,,2023-01-05 13:49:55,2023-01-05 13:50:20,25.193s,PASSED
,,,,,,,
Test Cases/Go to Facebook,Chrome 108.0.0.0,,,2023-01-05 13:49:55,2023-01-05 13:49:59,4.202s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-05 13:49:55,2023-01-05 13:49:57,2.357s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 108.0.0.0,,,2023-01-05 13:49:57,2023-01-05 13:49:59,1.345s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-05 13:49:59,2023-01-05 13:49:59,0.149s,PASSED
,,,,,,,
Test Cases/Login/Login Failed,Chrome 108.0.0.0,,,2023-01-05 13:49:59,2023-01-05 13:50:20,20.732s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:49:59,2023-01-05 13:50:00,0.406s,PASSED
"click(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:50:00,2023-01-05 13:50:00,0.490s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Email""), email)",Chrome 108.0.0.0,,,2023-01-05 13:50:00,2023-01-05 13:50:01,1.038s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:50:01,2023-01-05 13:50:04,3.090s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:50:04,2023-01-05 13:50:05,0.435s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:50:05,2023-01-05 13:50:05,0.478s,PASSED
"click(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:50:05,2023-01-05 13:50:06,0.350s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Password""), password)",Chrome 108.0.0.0,,,2023-01-05 13:50:06,2023-01-05 13:50:06,0.750s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:50:06,2023-01-05 13:50:09,3.010s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:50:09,2023-01-05 13:50:10,0.407s,PASSED
"click(findTestObject(""Page Login Facebook/Button Login""))",Chrome 108.0.0.0,,,2023-01-05 13:50:10,2023-01-05 13:50:10,0.545s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:50:10,2023-01-05 13:50:13,3.011s,PASSED
"verifyElementVisible(findTestObject(""Page Login Facebook/Alert Password Incorrect""))",Chrome 108.0.0.0,,,2023-01-05 13:50:13,2023-01-05 13:50:19,5.634s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:50:19,2023-01-05 13:50:20,0.607s,PASSED
